rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,year
1,2019-04-23,Avengers: Endgame,400000000,858373000,2797800564,357115007,PG-13,Action,4662,2019
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802,90151958,PG-13,Adventure,4164,2011
3,2015-04-22,Avengers: Age of Ultron,365000000,459005868,1395316979,191271109,PG-13,Action,4276,2015
4,2015-12-16,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2064615817,247966675,PG-13,Adventure,4134,2015
5,2018-04-25,Avengers: Infinity War,300000000,678815482,2048359754,257698183,PG-13,Action,4474,2018
6,2007-05-24,Pirates of the Caribbean: At World’s End,300000000,309420425,960996492,114732820,PG-13,Adventure,4362,2007
7,2017-11-13,Justice League,300000000,229024295,655945209,93842239,PG-13,Action,4051,2017
8,2015-10-06,Spectre,300000000,200074175,879500760,70403148,PG-13,Action,3929,2015
10,2019-12-18,Star Wars: The Rise of Skywalker,275000000,515202542,1072848487,177383864,PG-13,Adventure,4406,2019
11,2018-05-23,Solo: A Star Wars Story,275000000,213767512,393151347,84420489,PG-13,Adventure,4381,2018
12,2012-03-07,John Carter,263700000,73058679,282778100,30180188,PG-13,Adventure,3749,2012
13,2016-03-23,Batman v Superman: Dawn of Justice,263000000,330360194,872395091,166007347,PG-13,Action,4256,2016
14,2017-12-13,Star Wars Ep. VIII: The Last Jedi,262000000,620181382,1331635141,220009584,PG-13,Adventure,4232,2017
15,2019-07-11,The Lion King,260000000,543638043,1647778651,191770759,PG,Adventure,4802,2019
16,2010-11-24,Tangled,260000000,200821936,583777242,48767052,PG,Musical,3603,2010
17,2007-05-04,Spider-Man 3,258000000,336530303,894860230,151116516,PG-13,Adventure,4324,2007
18,2016-04-22,Captain America: Civil War,250000000,408084349,1151918521,179139142,PG-13,Action,4226,2016
19,2022-07-01,Thor: Love and Thunder,250000000,343256830,745453552,144165107,PG-13,Action,4375,2022
20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,77835727,PG,Adventure,4455,2009
21,2013-12-12,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,73645197,PG-13,Adventure,3928,2013
22,2014-12-10,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,54724334,PG-13,Adventure,3875,2014
23,2017-04-07,The Fate of the Furious,250000000,225764765,1236703796,98786705,PG-13,Action,4329,2017
24,2021-09-29,No Time to Die,250000000,160891007,760008036,55225007,PG-13,Action,4407,2021
25,2009-12-17,Avatar,237000000,785221649,2910370905,77025481,PG-13,Action,3461,2009
26,2006-06-28,Superman Returns,232000000,200120000,391081192,52535096,PG-13,Adventure,4065,2006
27,2012-07-19,The Dark Knight Rises,230000000,448139099,1082228107,160887295,PG-13,Action,4404,2012
28,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794,62983253,PG-13,Adventure,4276,2017
29,2008-11-14,Quantum of Solace,230000000,169368427,591692078,67528882,PG-13,Action,3501,2008
30,2012-04-25,The Avengers,225000000,623357910,1515100211,207438708,PG-13,Action,4349,2012
31,2006-07-06,Pirates of the Caribbean: Dead Man’s Chest,225000000,423315812,1066179725,135634554,PG-13,Adventure,4133,2006
32,2013-06-14,Man of Steel,225000000,291045518,667999518,116619362,PG-13,Action,4207,2013
33,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,55034805,PG,Adventure,3929,2008
